Month,Hour,MZQ,SL1,SL2
1,1,63.92195594,0,0
1,2,51.23013447,0,0
1,3,44.9540303,0,0
1,4,42.22865517,0,0
1,5,38.93300887,0,0
1,6,35.9071133,0,0
1,7,34.28434157,0,0
1,8,34.06214173,2.395395748,2.465564839
1,9,36.45723229,52.5650968,50.7084955
1,10,38.9176831,103.3682533,98.07599743
1,11,44.15853437,112.3324737,104.7115943
1,12,50.55662622,114.3141514,107.2469467
1,13,54.9696903,112.194191,105.3012972
1,14,60.21527518,109.7261998,103.2207989
1,15,70.24741382,107.7411526,101.1466814
1,16,86.12745435,101.4198468,95.38358979
1,17,98.1661506,87.34382001,82.91391813
1,18,114.6898537,39.71243074,37.91992177
1,19,129.5094928,1.557283161,1.562530052
1,20,125.3048182,0,0
1,21,113.6701412,0,0
1,22,97.62151074,0,0
1,23,84.95716153,0,0
1,24,76.64143288,0,0
2,1,77.81308492,0,0
2,2,58.69932167,0,0
2,3,44.34283849,0,0
2,4,38.99297115,0,0
2,5,36.29087118,0,0
2,6,32.42272991,0,0
2,7,31.2992581,0,0
2,8,30.16459748,6.761880006,6.691561173
2,9,28.72253166,73.30672247,69.81954813
2,10,31.84199759,121.0707932,113.6811654
2,11,39.13693083,127.3620165,119.4505393
2,12,48.96130056,128.0065804,119.703148
2,13,61.30870655,127.0229299,119.3815295
2,14,76.24919799,125.8112179,118.3841726
2,15,95.37851876,121.0475551,113.8659318
2,16,116.6017965,114.805572,108.011179
2,17,132.5463974,104.8275742,98.58478323
2,18,138.5955841,62.8864577,60.03937265
2,19,139.625094,7.735189329,7.51103779
2,20,137.7497247,0,0
2,21,125.1425162,0,0
2,22,110.7988862,0,0
2,23,102.5500674,0,0
2,24,93.42254894,0,0
3,1,107.1144113,0,0
3,2,84.23692502,0,0
3,3,60.63232731,0,0
3,4,46.04415364,0,0
3,5,40.29109123,0,0
3,6,35.97147525,0,0
3,7,34.1584414,0.055610419,0.054646444
3,8,32.15389332,25.38478668,24.58555332
3,9,32.06232133,104.6871875,100.2027162
3,10,37.03207556,134.8753468,126.9794095
3,11,46.34631242,139.6151422,131.1826172
3,12,58.9060713,139.9737625,131.5023047
3,13,73.7973554,138.3083264,129.9411149
3,14,88.99503674,135.4335456,127.3578963
3,15,103.7947778,130.6225509,123.5894488
3,16,116.6393993,121.5325359,114.9063603
3,17,131.1198446,108.6247552,102.2808526
3,18,144.6389878,75.04958896,70.59366433
3,19,145.8485974,14.77009948,14.32308738
3,20,146.2409116,0.000216815,0.000418355
3,21,139.5727626,0,0
3,22,135.814977,0,0
3,23,133.7437989,0,0
3,24,123.902574,0,0
4,1,120.4102433,0,0
4,2,96.16238185,0,0
4,3,75.35121827,0,0
4,4,58.86698309,0,0
4,5,53.31370729,0,0
4,6,48.77945974,0,0
4,7,48.29673363,4.37349706,4.233072242
4,8,47.10413657,67.23670066,76.57084412
4,9,49.47962107,126.013735,118.926639
4,10,57.04517717,138.8083739,128.0451465
4,11,67.96751329,141.5287331,130.5451775
4,12,83.91060652,143.2827637,131.4613055
4,13,100.0657506,140.1857761,129.0783562
4,14,120.3223388,138.4486489,125.1182294
4,15,137.0524951,130.715412,117.6131866
4,16,150.8487263,120.6866035,109.7313697
4,17,161.3130595,101.8092702,90.67218315
4,18,168.5386184,68.42938145,54.09613804
4,19,167.583244,17.08949107,12.18087379
4,20,164.1296851,0.027132842,0.017161192
4,21,163.6881014,0,0
4,22,161.8207113,0,0
4,23,155.5324206,0,0
4,24,140.3897193,0,0
5,1,162.3835406,0,0
5,2,145.5159503,0,0
5,3,121.6587195,0,0
5,4,99.99612041,0,0
5,5,80.52061098,0,0
5,6,64.2878557,0,0
5,7,55.17719071,8.691383702,8.41149804
5,8,52.48109002,71.57308672,67.73334575
5,9,54.42916346,122.2893469,113.1412577
5,10,58.71289726,137.0461564,125.4660793
5,11,77.77345693,142.0445455,129.1884277
5,12,101.570793,142.9443553,130.2535105
5,13,120.672271,140.6112046,127.3117143
5,14,141.1404171,134.0897709,122.0234059
5,15,161.9106677,127.2884748,116.1302528
5,16,171.1605481,118.9236091,107.241285
5,17,176.7447157,99.74842512,90.17785592
5,18,182.2595579,75.66623806,70.50061281
5,19,187.6600211,25.37884073,24.60852701
5,20,181.901041,0.390392089,0.404887629
5,21,182.748803,0,0
5,22,189.2361127,0,0
5,23,186.1001872,0,0
5,24,176.5732466,0,0
6,1,164.0785204,0,0
6,2,148.2964629,0,0
6,3,125.2741145,0,0
6,4,103.6337498,0,0
6,5,82.65932613,0,0
6,6,67.48202897,0,0
6,7,51.99203828,7.385319875,6.943897275
6,8,41.05928875,52.86504999,50.05143416
6,9,39.64124398,93.72403673,87.04483385
6,10,46.39388319,115.8410377,105.7266587
6,11,61.94510873,123.6849341,111.6655102
6,12,85.0113155,125.6439393,112.5342178
6,13,105.2416821,124.5764631,110.8626169
6,14,120.0930377,115.9506,104.9833899
6,15,129.4258317,106.3006496,96.30335423
6,16,140.6754362,94.68526353,87.21098327
6,17,156.0034383,80.9015197,73.80452419
6,18,167.5257906,59.01237313,53.92683135
6,19,171.0000855,24.69606723,23.2174222
6,20,167.9468295,0.799814183,0.817937983
6,21,165.9853762,0,0
6,22,175.2224202,0,0
6,23,180.8683992,0,0
6,24,177.7955628,0,0
7,1,172.9990023,0,0
7,2,157.2539407,0,0
7,3,135.3802044,0,0
7,4,106.3512649,0,0
7,5,76.987478,0,0
7,6,52.68331324,0,0
7,7,35.75882078,4.698958048,4.409750379
7,8,28.62239982,45.3998914,42.6857424
7,9,24.33575711,89.04191473,83.53769364
7,10,27.50476952,111.8710201,101.4751919
7,11,46.38647088,120.5453074,110.1353089
7,12,79.58034273,122.3342869,112.0903002
7,13,100.6785836,121.1678529,112.2174113
7,14,116.004885,119.0777789,108.3914473
7,15,132.2640628,108.577946,101.0566372
7,16,140.6961485,95.01655452,90.06063273
7,17,152.1338373,78.02537915,74.00759493
7,18,153.3320282,56.1418439,51.81716649
7,19,164.0033704,21.93283359,20.26760621
7,20,155.4923118,0.789519008,0.788020653
7,21,154.0971536,0,0
7,22,169.6874082,0,0
7,23,178.6623461,0,0
7,24,180.6787262,0,0
8,1,165.8006386,0,0
8,2,145.6941315,0,0
8,3,121.300245,0,0
8,4,94.14397324,0,0
8,5,67.44500657,0,0
8,6,46.56884545,0,0
8,7,30.4862847,2.116510452,2.114207492
8,8,25.21460475,41.17743336,39.01899049
8,9,24.16081522,90.91552306,86.03684457
8,10,27.63979592,112.284974,103.2154725
8,11,42.45356083,121.9136033,109.7513677
8,12,68.26619431,121.9821805,111.3249584
8,13,93.26625297,122.356496,112.6676819
8,14,105.9498718,119.0046882,111.2958652
8,15,118.6369858,111.3203053,101.1498784
8,16,131.214495,101.680949,95.49977687
8,17,137.7944468,84.31808104,78.9792941
8,18,144.8685989,63.35643917,59.93512913
8,19,146.6172931,19.8971616,18.63487504
8,20,135.8040245,0.136497734,0.139403613
8,21,135.817536,0,0
8,22,153.4992343,0,0
8,23,171.510791,0,0
8,24,174.7213914,0,0
9,1,126.0931181,0,0
9,2,107.5568001,0,0
9,3,88.30107192,0,0
9,4,72.70886911,0,0
9,5,55.26911891,0,0
9,6,43.56468266,0,0
9,7,36.76139799,0.941721489,0.958332689
9,8,28.63217919,36.82599276,34.57116358
9,9,27.77239479,95.31584713,88.94144769
9,10,35.35396311,112.5523664,103.402137
9,11,49.49046189,115.3065138,104.471888
9,12,67.53409144,116.5295895,107.5738082
9,13,83.68680087,117.493934,108.3961038
9,14,93.94054216,112.5054407,105.0959636
9,15,103.2719891,103.3664981,96.59148788
9,16,116.0478011,98.35572498,93.35166119
9,17,119.3410014,87.25258721,80.6424961
9,18,128.291364,53.91131004,48.89329806
9,19,122.8952515,7.271383489,6.6291013
9,20,123.3714335,0,0
9,21,125.1709043,0,0
9,22,122.4262249,0,0
9,23,127.2189689,0,0
9,24,133.6142815,0,0
10,1,88.86605446,0,0
10,2,77.49832409,0,0
10,3,62.75885411,0,0
10,4,48.63816741,0,0
10,5,37.94067535,0,0
10,6,34.09244694,0,0
10,7,28.55727631,0.472051033,0.480399206
10,8,24.78879899,37.79658411,36.12745768
10,9,22.26876281,95.91698936,91.11411766
10,10,29.48496563,113.407849,107.1977336
10,11,40.51605547,119.725473,111.6278018
10,12,55.64180342,119.9831341,111.6610839
10,13,70.32262162,118.9420794,110.2185694
10,14,88.73769231,115.7911083,109.2442674
10,15,106.7864079,111.8083396,104.2928692
10,16,125.2402876,103.9052435,95.59820332
10,17,135.5124019,80.01469053,75.62422774
10,18,134.6890572,32.98014406,32.30891289
10,19,132.5252835,0.803619024,0.872520629
10,20,128.4375359,0,0
10,21,118.3911962,0,0
10,22,107.323943,0,0
10,23,102.2209747,0,0
10,24,98.56913664,0,0
11,1,60.9941445,0,0
11,2,52.2544641,0,0
11,3,45.0335266,0,0
11,4,35.52662014,0,0
11,5,31.08829015,0,0
11,6,28.7937424,0,0
11,7,28.25543714,0.002380578,0.002465722
11,8,26.35769421,19.6241352,19.16128621
11,9,26.04017683,91.41884099,87.80236938
11,10,30.44688788,118.4960111,111.6625869
11,11,39.31619183,120.2364382,112.6435674
11,12,49.63867034,117.9517394,110.6658163
11,13,60.4654751,114.6492854,107.2207816
11,14,74.78106646,113.1250288,105.5052349
11,15,94.10343342,112.5200575,106.0274478
11,16,113.0330333,109.9365365,102.7219304
11,17,129.0714037,88.82450736,82.91028619
11,18,137.2648917,22.70676378,22.23007412
11,19,133.6754261,0.010528378,0.011286689
11,20,117.5786683,0,0
11,21,102.3086355,0,0
11,22,86.7367906,0,0
11,23,74.32762795,0,0
11,24,65.96848777,0,0
12,1,41.70150814,0,0
12,2,34.96541506,0,0
12,3,28.5995754,0,0
12,4,25.34320531,0,0
12,5,24.27515173,0,0
12,6,24.89676977,0,0
12,7,26.37058493,0,0
12,8,26.90569785,5.698319097,5.658207952
12,9,27.85092436,63.8710162,60.89728333
12,10,28.45644148,105.979352,99.43324084
12,11,34.37803535,110.5361621,102.6595539
12,12,42.01199176,109.2815572,102.0977808
12,13,46.36786904,107.0954014,100.5280701
12,14,53.99401583,105.1601596,98.08556162
12,15,70.64094652,102.699328,95.75020122
12,16,89.17366061,99.77431787,92.57104013
12,17,105.039004,80.28885498,75.79448125
12,18,120.4459656,22.89517872,21.9575431
12,19,124.4526448,0.054751323,0.055367105
12,20,109.7615034,0,0
12,21,89.77846177,0,0
12,22,74.33049278,0,0
12,23,59.30080923,0,0
12,24,48.80731739,0,0
